url,URN,School Name,Local Authority,Street,Town,Postcode,Phase,ReligiousCharacter (name),PAN 2025,Apps Received 2025,Offers Made 2025,1st Pref Rate %,Oversub Ratio,Latitude,Longitude,EstablishmentName,PAN,Snobe Overall Grade,Ofsted Rating,School Website,Last Updated,FSM_percent,Current_roll,First_pref_offers,Preferred_offers,FSM_percent_new,PAN_new,First_pref_offers_new,Crime_index,IMD_rank,Places Offered 2025,ReligiousCharacter,ReligiousCharacter_DfE,Local Authority_DfE,DfE Data Updated
https://snobe.co.uk/schools/all-saints-catholic-school-and-technology-college,101247,All Saints Catholic School and Technology College,Barking and Dagenham,Terling Road,Dagenham,RM8 1JT,Secondary,Roman Catholic,237.0,580,214.0,36.896552,58000,51.562829,0.151337,All Saints Catholic School and Technology College,237.0,A,Ofsted Outstanding,http://www.allsaintsschool.co.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,23.9,225.15,214.0,235.0,23.9,237.0,214.0,60.0,7.0,0,,,,True
https://snobe.co.uk/schools/st-teresa-catholic-primary-school-1,101238,The St Teresa Catholic Primary School,Barking and Dagenham,Bowes Road,Dagenham,RM8 2XJ,Primary,Roman Catholic,30.0,76,29.0,38.157895,7600,51.550677,0.124266,The St Teresa Catholic Primary School,29.0,A,Ofsted Good,http://www.st-teresa.co.uk?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,7.4,28.5,28.0,29.0,7.4,29.0,28.0,60.0,7.0,0,,,,True
https://snobe.co.uk/schools/bishop-douglass-school-finchley,101365,Bishop Douglass School Finchley,Barnet,Hamilton Road,London,N2 0SQ,Secondary,Roman Catholic,136.0,307,60.0,18.237082,295,51.594066,-0.178293,Bishop Douglass School Finchley,104.0,B-,Ofsted Good,http://www.bishopdouglass.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,19.5,129.2,38.0,84.0,19.5,104.0,38.0,55.0,4.0,104,,,Barnet,True
https://snobe.co.uk/schools/bishop-douglass-school-finchley,101365,Bishop Douglass School Finchley,Barnet,Hamilton Road,London,N2 0SQ,Secondary,Roman Catholic,136.0,194,60.0,18.237082,308,51.594066,-0.178293,Bishop Douglass School Finchley,104.0,B-,Ofsted Good,http://www.bishopdouglass.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,19.5,129.2,38.0,84.0,19.5,104.0,38.0,55.0,4.0,63,,,Barnet,True
https://snobe.co.uk/schools/bishop-douglass-school-finchley,101365,Bishop Douglass School Finchley,Barnet,Hamilton Road,London,N2 0SQ,Secondary,Roman Catholic,136.0,261,60.0,18.237082,266,51.594066,-0.178293,Bishop Douglass School Finchley,104.0,B-,Ofsted Good,http://www.bishopdouglass.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,19.5,129.2,38.0,84.0,19.5,104.0,38.0,55.0,4.0,98,,,Barnet,True
https://snobe.co.uk/schools/blessed-dominic-catholic-primary-school,101339,Blessed Dominic Catholic Primary School,Barnet,Great Strand,London,NW9 5PE,Primary,Roman Catholic,60.0,168,58.0,34.52381,280,51.600831,-0.240936,Blessed Dominic Catholic Primary School,60.0,A+,Ofsted Outstanding,http://www.blesseddominic.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,18.5,57.0,58.0,60.0,18.5,60.0,58.0,55.0,4.0,60,,,Barnet,True
https://snobe.co.uk/schools/blessed-dominic-catholic-primary-school,101339,Blessed Dominic Catholic Primary School,Barnet,Great Strand,London,NW9 5PE,Primary,Roman Catholic,60.0,162,58.0,34.52381,275,51.600831,-0.240936,Blessed Dominic Catholic Primary School,60.0,A+,Ofsted Outstanding,http://www.blesseddominic.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,18.5,57.0,58.0,60.0,18.5,60.0,58.0,55.0,4.0,59,,,Barnet,True
https://snobe.co.uk/schools/blessed-dominic-catholic-primary-school,101339,Blessed Dominic Catholic Primary School,Barnet,Great Strand,London,NW9 5PE,Primary,Roman Catholic,60.0,164,58.0,34.52381,273,51.600831,-0.240936,Blessed Dominic Catholic Primary School,60.0,A+,Ofsted Outstanding,http://www.blesseddominic.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,18.5,57.0,58.0,60.0,18.5,60.0,58.0,55.0,4.0,60,,,Barnet,True
https://snobe.co.uk/schools/blessed-dominic-catholic-primary-school,101339,Blessed Dominic Catholic Primary School,Barnet,Great Strand,London,NW9 5PE,Primary,Roman Catholic,60.0,139,58.0,34.52381,236,51.600831,-0.240936,Blessed Dominic Catholic Primary School,60.0,A+,Ofsted Outstanding,http://www.blesseddominic.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,18.5,57.0,58.0,60.0,18.5,60.0,58.0,55.0,4.0,59,,,Barnet,True
https://snobe.co.uk/schools/blessed-dominic-catholic-primary-school,101339,Blessed Dominic Catholic Primary School,Barnet,Great Strand,London,NW9 5PE,Primary,Roman Catholic,60.0,145,58.0,34.52381,242,51.600831,-0.240936,Blessed Dominic Catholic Primary School,60.0,A+,Ofsted Outstanding,http://www.blesseddominic.barnet.sch.uk/?utm_source=snobe-co-uk&utm_medium=school-profile&utm_campaign=organic,2026-03-19,18.5,57.0,58.0,60.0,18.5,60.0,58.0,55.0,4.0,60,,,Barnet,True
