postcode,imd_decile,imd_score
DA184BA,3,8670
SE171RB,2,4927
NW16LH,9,27574
N156ND,4,11825
N155RE,3,7221
NW95PE,2,4606
SE193NU,6,17644
HA89HQ,4,11811
E95SR,2,3486
E163DT,2,5783
NW64LS,4,10342
NW21RG,6,17305
SE109AN,4,12724
SE164UP,4,9929
SW162ET,4,9888
W106EB,1,3154
SW84EN,3,9545
DA83HQ,7,19919
E58BS,2,6158
NW32AE,7,22390
TW47AG,3,8869
SE11NJ,4,12077
N97HJ,3,6746
N178AZ,2,4997
NW10DP,2,6470
N78JN,3,6677
SW120AB,7,20129
E33ER,3,8147
SE50TS,3,7330
E126HB,3,8778
SW25BL,4,12382
NW53AH,4,12979
CR02EW,3,8534
SW75AQ,8,23929
SW67HB,7,20454
W1U4DF,7,22125
SW49QJ,3,7269
SE155LP,3,6961
W129BY,7,20324
N153HD,4,10638
SE62LD,4,12238
W114BJ,2,3890
SE39YX,2,6446
SW90TQ,2,5258
SW196AD,5,13693
E18DJ,7,22328
NW26HS,3,8720
SE166SD,4,13026
W67BL,6,19649
SW178RW,6,18761
SE77HR,2,5415
SE115JA,4,10233
CR44LA,5,15124
SW152QD,9,26969
SW1P1EP,8,26006
SE152EB,3,7230
N101PS,6,19221
IG26RG,6,19591
SM69HY,2,3420
SW162HY,6,18720
HA36LE,2,6225
SE187BN,2,6293
SM46RL,3,9642
SE16HR,3,8533
SE151RQ,3,7479
UB69AW,4,12265
SE91UF,6,19688
SW109NA,8,24135
W91RB,4,11199
SW112TD,7,20468
N135TY,4,9993
W105AW,2,3797
SW151AW,9,28435
RM37JS,4,10025
E29JY,4,10249
SW128QJ,7,20846
W67DG,4,12598
N32TD,6,18422
E10BD,2,3911
W25SR,1,2865
UB69AN,4,12265
SW64BL,7,22079
N209JU,10,30661
TW89JF,5,15965
HA30NB,8,25022
NW25BB,3,9415
E143RS,5,16421
E79QD,3,8339
SW178PP,4,13131
E78HU,3,9039
UB77NX,3,9202
RM81JT,1,2802
SE183SJ,3,8235
RM142QR,9,27280
SE256LR,3,7851
SW61RX,4,11772
N225HN,3,8989
SE288GB,4,11923
W51SL,9,27738
UB56NL,3,9812
UB32AB,4,10781
SW155NX,4,12645
N127NJ,7,21880
TW89LB,6,18140
HA13SB,6,18752
DA163QG,7,20333
SW36QH,3,8812
W148BZ,5,14640
W54EA,5,14321
SM39DL,10,29706
CR00RG,2,5919
KT35PE,7,22021
SE63RD,1,2371
EN52ED,9,27550
N52UX,6,18132
TW33EJ,3,8869
N14JB,4,11738
NW98YD,3,9286
SE135DZ,7,20519
RM138SP,3,8228
SE231PS,4,12776
W42DF,5,15036
CR82XP,5,14497
N120JP,5,14454
E173EA,2,6157
NW11LY,3,6579
BR51BL,10,31318
SW120LF,6,18787
SW113DQ,5,15348
CR26DF,5,14566
NW104EP,2,4690
BR69JT,7,21817
SE42BB,4,11609
EC1V0EU,3,9396
SE29LY,2,4983
TW76XF,6,18494
SW194NS,10,29724
EN14NP,3,8853
SE136AL,2,6379
IG38EU,5,14062
RM125LN,4,10117
SW208HA,10,30296
N128TA,6,18467
N65LY,3,8029
CR83YP,9,26443
CR92EE,3,8534
HA35DY,5,14624
UB108QY,9,28811
BR15EP,3,7764
SE30XX,7,20519
E140DE,2,5676
IG14JU,6,16875
IG14AS,5,14062
KT25TY,10,30727
RM113BX,7,22617
N20SQ,9,26462
SE120SJ,6,16775
W25PR,7,19938
SE193HL,7,19960
SM53PS,9,27872
KT35AR,6,16828
TW77EE,6,18494
IG80TP,10,31386
SE255BN,3,8461
CR78HJ,2,6270
DA67QJ,6,18060
DA67QB,6,18060
SW209NA,9,28169
SE96NS,4,10556
SE29PX,2,4983
EN20QA,8,24871
IG80TX,10,31386
BR54DR,6,17771
N147HE,9,26409
UB100EH,5,15086
HA49HS,9,28002
SE108HN,7,22742
N89EP,7,21667
DA145ED,2,3835
NW51RP,8,24847
DA158QW,8,25941
CR53DE,8,23880
NW103RN,2,4690
RM82XJ,2,3967
IG11SA,5,13901
E151HD,4,12546
HA39NS,6,19339
E112TA,7,19836
NW100BG,2,3361
NW44TY,8,25066
CR02AQ,2,5615
SE16EX,3,8533
NW25AN,3,9415
HA80HQ,3,7554
NW26EU,4,11593
SW1X0AA,7,21429
HA96TA,5,15999
TW14LT,9,29211
SM52PT,5,13483
HA37AY,4,10857
BR20BS,9,26511
W52ES,7,20668
CR95AS,8,24671
W127QT,2,3771
SW1P1QH,8,26006
SW194ND,10,29724
W91DF,8,25245
NW36PG,7,20586
NW17HB,2,6114
UB83NW,7,20749
IG14QR,6,16875
SW74NE,8,23221
W68QE,4,10269
SW139HQ,9,26405
SE220LA,6,17627
E66EE,3,7292
SW32QS,6,18886
E10LB,3,7611
E96LG,1,2897
SE265SE,4,10875
E15AW,3,8621
BR15PZ,4,13110
KT67DG,9,26782
TW106HN,5,14734
W106EL,2,4200
